GameId,Season,SeasonType,Day,GameDateTime,Status,AwayTeamName,HomeTeamName,GameOddId,Sportsbook,Created,Updated,HomeMoneyLine,AwayMoneyLine,HomePointSpread,AwayPointSpread,HomePointSpreadPayout,AwayPointSpreadPayout,OverUnder,OverPayout,UnderPayout,SportsbookId,OddType,SportsbookUrl
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199335,SportsIllustrated,2024-05-03 21:58:58,2024-05-03 22:22:57,-167.0,135.0,-3.5,3.5,-110.0,-118.0,195.5,-118.0,-110.0,32,pregame,https://www.sisportsbook.com/basketball/usa/nba/e-1423937/
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199337,Consensus,2024-05-03 21:59:00,2024-05-03 22:01:27,-164.0,137.0,-3.5,3.5,-111.0,-110.0,195.5,-110.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199348,Caesars,2024-05-03 21:59:39,2024-05-03 22:07:38,-165.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,19,pregame,https://sportsbook.caesars.com/us/nj/bet/basketball/7e032506-b07b-4ead-9cc6-444077a67b9f/cle-vs-orl
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199368,Tipico,2024-05-03 22:01:28,2024-05-03 22:02:38,-160.0,140.0,-3.5,3.5,-115.0,-105.0,195.5,-110.0,-110.0,36,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199369,Superbook,2024-05-03 22:01:29,2024-05-04 11:27:21,-160.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,38,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199370,Consensus,2024-05-03 22:01:58,2024-05-03 22:12:59,-163.0,138.0,-3.5,3.5,-111.0,-110.0,195.5,-110.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199371,PointsBet,2024-05-03 22:01:58,2024-05-03 22:58:08,-160.0,130.0,-4.0,4.0,-110.0,-110.0,195.5,-110.0,-110.0,23,pregame,https://nj.pointsbet.com/sports-event/OF-3049324699
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199389,Tipico,2024-05-03 22:02:48,2024-05-03 22:58:18,-160.0,140.0,-3.5,3.5,-115.0,-105.0,195.5,-108.0,-112.0,36,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199409,DraftKings,2024-05-03 22:03:28,2024-05-03 22:04:18,-198.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199444,DraftKings,2024-05-03 22:04:28,2024-05-03 22:34:08,-166.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199550,Caesars,2024-05-03 22:07:48,2024-05-03 22:10:38,-165.0,140.0,-3.5,3.5,-110.0,-110.0,196.0,-110.0,-110.0,19,pregame,https://sportsbook.caesars.com/us/nj/bet/basketball/7e032506-b07b-4ead-9cc6-444077a67b9f/cle-vs-orl
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199600,Caesars,2024-05-03 22:10:48,2024-05-04 12:21:21,-165.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,19,pregame,https://sportsbook.caesars.com/us/nj/bet/basketball/7e032506-b07b-4ead-9cc6-444077a67b9f/cle-vs-orl
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199648,SugarHousePA,2024-05-03 22:13:27,2024-05-04 05:26:18,-175.0,143.0,-3.5,3.5,-110.0,-110.0,195.5,-112.0,-109.0,9,pregame,https://pa.playsugarhouse.com/?l=RiversPhiladelphia&page=sportsbook#event/1020701808
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199646,SugarHouseNJ,2024-05-03 22:13:27,2024-05-04 05:26:19,-175.0,143.0,-3.5,3.5,-110.0,-110.0,195.5,-112.0,-109.0,10,pregame,https://nj.betrivers.com/?page=sportsbook#event/1020701808
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199647,Parx,2024-05-03 22:13:27,2024-05-04 05:26:18,-175.0,143.0,-3.5,3.5,-110.0,-110.0,195.5,-112.0,-109.0,12,pregame,https://pa.parxcasino.com/kambiSportsbook.shtml#event/1020701808
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199643,RiversCasinoPA,2024-05-03 22:13:27,2024-05-04 05:26:18,-175.0,143.0,-3.5,3.5,-110.0,-110.0,195.5,-112.0,-109.0,14,pregame,https://pa.betrivers.com/?l=RiversPittsburgh&page=sportsbook#event/1020701808
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199645,Unibet,2024-05-03 22:13:27,2024-05-04 05:26:18,-175.0,143.0,-3.5,3.5,-110.0,-110.0,195.5,-112.0,-109.0,25,pregame,https://nj.unibet.com/sports/#event/1020701808
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199650,Consensus,2024-05-03 22:13:29,2024-05-03 22:16:59,-168.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-111.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199751,FanDuel,2024-05-03 22:17:08,2024-05-03 23:46:48,-162.0,136.0,-3.5,3.5,-112.0,-108.0,195.0,-110.0,-110.0,8,pregame,https://sportsbook.fanduel.com/basketball/nba/orlando-magic-@-cleveland-cavaliers-33239740
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199760,Consensus,2024-05-03 22:17:29,2024-05-03 22:23:28,-168.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-112.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199943,SportsIllustrated,2024-05-03 22:23:57,2024-05-03 22:23:57,-175.0,140.0,-3.5,3.5,-110.0,-118.0,195.5,-118.0,-110.0,32,pregame,https://www.sisportsbook.com/basketball/usa/nba/e-1423937/
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199944,Consensus,2024-05-03 22:23:58,2024-05-03 22:33:59,-169.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-112.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22199949,SportsIllustrated,2024-05-03 22:24:57,2024-05-03 23:35:28,-175.0,135.0,-3.5,3.5,-110.0,-118.0,195.5,-118.0,-110.0,32,pregame,https://www.sisportsbook.com/basketball/usa/nba/e-1423937/
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200098,DraftKings,2024-05-03 22:34:18,2024-05-03 22:35:08,-198.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200106,Consensus,2024-05-03 22:34:29,2024-05-03 22:34:59,-170.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-112.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200133,DraftKings,2024-05-03 22:35:18,2024-05-03 22:36:58,-166.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200139,Consensus,2024-05-03 22:35:29,2024-05-03 22:36:59,-169.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-112.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200164,DraftKings,2024-05-03 22:37:08,2024-05-03 22:37:58,-198.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200179,Consensus,2024-05-03 22:37:29,2024-05-03 22:37:59,-170.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-112.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200201,DraftKings,2024-05-03 22:38:08,2024-05-03 22:40:08,-166.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200212,Consensus,2024-05-03 22:38:29,2024-05-03 22:57:59,-169.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-112.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200259,DraftKings,2024-05-03 22:40:18,2024-05-03 22:41:48,-166.0,164.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200282,DraftKings,2024-05-03 22:42:29,2024-05-03 22:47:28,-166.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200363,DraftKings,2024-05-03 22:47:38,2024-05-03 22:48:18,-166.0,164.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200388,DraftKings,2024-05-03 22:48:28,2024-05-03 23:11:38,-166.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200705,PointsBet,2024-05-03 22:58:18,2024-05-03 23:10:08,-170.0,140.0,-4.0,4.0,-110.0,-110.0,195.5,-110.0,-110.0,23,pregame,https://nj.pointsbet.com/sports-event/OF-3049324699
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200710,Tipico,2024-05-03 22:58:28,2024-05-04 01:56:59,-160.0,140.0,-3.5,3.5,-115.0,-105.0,195.5,-109.0,-111.0,36,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200711,Consensus,2024-05-03 22:58:29,2024-05-03 23:08:59,-170.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-112.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200787,BetMGM,2024-05-03 23:09:18,2024-05-03 23:09:38,,,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,24,pregame,https://sports.betmgm.com/en/sports/events/15779270
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200790,Consensus,2024-05-03 23:09:29,2024-05-03 23:11:29,-170.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-111.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200791,BetMGM,2024-05-03 23:09:48,2024-05-04 09:23:59,-165.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,24,pregame,https://sports.betmgm.com/en/sports/events/15779270
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200794,PointsBet,2024-05-03 23:10:18,2024-05-04 02:07:46,-170.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,23,pregame,https://nj.pointsbet.com/sports-event/OF-3049324699
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200797,DraftKings,2024-05-03 23:11:48,2024-05-03 23:12:38,-198.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200800,Consensus,2024-05-03 23:11:59,2024-05-03 23:12:29,-171.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-111.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200801,DraftKings,2024-05-03 23:12:48,2024-05-03 23:40:10,-166.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22200804,Consensus,2024-05-03 23:12:59,2024-05-03 23:36:00,-170.0,140.0,-3.5,3.5,-111.0,-110.0,195.5,-111.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22201264,SportsIllustrated,2024-05-03 23:36:28,2024-05-03 23:41:28,-175.0,140.0,-3.5,3.5,-110.0,-118.0,195.5,-118.0,-110.0,32,pregame,https://www.sisportsbook.com/basketball/usa/nba/e-1423937/
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22201267,Consensus,2024-05-03 23:36:30,2024-05-03 23:40:00,-170.0,141.0,-3.5,3.5,-111.0,-110.0,195.5,-111.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22201373,DraftKings,2024-05-03 23:40:19,2024-05-03 23:40:59,-198.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22201384,Consensus,2024-05-03 23:40:30,2024-05-03 23:41:01,-171.0,141.0,-3.5,3.5,-111.0,-110.0,195.5,-111.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22201403,DraftKings,2024-05-03 23:41:10,2024-05-03 23:42:50,-166.0,140.0,-3.5,3.5,-110.0,-110.0,195.5,-110.0,-110.0,7,pregame,https://sportsbook.draftkings.com/event/30539582
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22201415,Consensus,2024-05-03 23:41:31,2024-05-03 23:42:01,-170.0,141.0,-3.5,3.5,-111.0,-110.0,195.5,-111.0,-110.0,22,pregame,
20889,2024,3,2024-05-05,2024-05-05 13:00:00,Scheduled,ORL,CLE,22201444,SportsIllustrated,2024-05-03 23:42:28,2024-05-04 00:22:28,-175.0,135.0,-3.5,3.5,-110.0,-118.0,195.5,-118.0,-110.0,32,pregame,https://www.sisportsbook.com/basketball/usa/nba/e-1423937/
